country,year,population,e_waste_generated_kt,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,e_waste_imported_kt,e_waste_exported_kt,e_waste_generated_per_capita,eee_put_on_market_per_capita,temperature_exchange_equipment_kt,screens_kt,lamps_kt,large_equipment_kt,small_equipment_kt,small_it_kt,source_file,country_clean,iso3,gdp_per_capita,average_household_size,ewaste_management_collection_rate,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh,generated_ewaste_plastic_kg_inh,generated_bfrs_from_ewaste_kg_inh,value_x,value_y,category_x,share_value_x,category_y,share_value_y
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,large_equipment,0.22,large_equipment,0.25
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,large_equipment,0.22,small_equipment,0.39
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,large_equipment,0.22,small_it,0.07
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_equipment,0.39,temperature_exchange_equipment,0.2
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_equipment,0.39,screens_and_monitors,0.03
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_equipment,0.39,lamps,0.06
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_equipment,0.39,large_equipment,0.25
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_equipment,0.39,small_equipment,0.39
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_equipment,0.39,small_it,0.07
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_it,0.11,temperature_exchange_equipment,0.2
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_it,0.11,screens_and_monitors,0.03
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_it,0.11,lamps,0.06
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_it,0.11,large_equipment,0.25
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_it,0.11,small_equipment,0.39
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,small_it,0.11,small_it,0.07
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,temperature_exchange_equipment,0.26,temperature_exchange_equipment,0.34
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,temperature_exchange_equipment,0.26,screens_and_monitors,0.09
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,temperature_exchange_equipment,0.26,lamps,0.01
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,temperature_exchange_equipment,0.26,large_equipment,0.23
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,temperature_exchange_equipment,0.26,small_equipment,0.29
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,temperature_exchange_equipment,0.26,small_it,0.05
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,screens_and_monitors,0.15,temperature_exchange_equipment,0.34
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,screens_and_monitors,0.15,screens_and_monitors,0.09
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv,chile republic of,CHL,25154.0,3.6,0.05,7.9,13.4,0.4,2.1,0.2,15.1,7.6,screens_and_monitors,0.15,lamps,0.01
