country,year,category,share,value,pair_side
Chile (Republic of),2018,screens_and_monitors,0.09,7.6,y
Chile (Republic of),2018,temperature_exchange_equipment,0.26,15.1,x
Chile (Republic of),2018,lamps,0.01,7.6,y
Chile (Republic of),2018,temperature_exchange_equipment,0.26,15.1,x
Chile (Republic of),2018,large_equipment,0.23,7.6,y
Chile (Republic of),2018,temperature_exchange_equipment,0.26,15.1,x
Chile (Republic of),2018,small_equipment,0.29,7.6,y
Chile (Republic of),2018,temperature_exchange_equipment,0.26,15.1,x
Chile (Republic of),2018,small_it,0.05,7.6,y
Chile (Republic of),2018,screens_and_monitors,0.15,15.1,x
Chile (Republic of),2018,temperature_exchange_equipment,0.34,7.6,y
Chile (Republic of),2018,screens_and_monitors,0.15,15.1,x
Chile (Republic of),2018,screens_and_monitors,0.09,7.6,y
Chile (Republic of),2018,screens_and_monitors,0.15,15.1,x
Chile (Republic of),2018,lamps,0.01,7.6,y
Chile (Republic of),2018,screens_and_monitors,0.15,15.1,x
Chile (Republic of),2018,large_equipment,0.23,7.6,y
Chile (Republic of),2018,screens_and_monitors,0.15,15.1,x
Chile (Republic of),2018,small_equipment,0.29,7.6,y
Chile (Republic of),2018,screens_and_monitors,0.15,15.1,x
Chile (Republic of),2018,small_it,0.05,7.6,y
Chile (Republic of),2018,lamps,0.02,15.1,x
Chile (Republic of),2018,temperature_exchange_equipment,0.34,7.6,y
Chile (Republic of),2018,lamps,0.02,15.1,x
Chile (Republic of),2018,screens_and_monitors,0.09,7.6,y
Chile (Republic of),2018,lamps,0.02,15.1,x
Chile (Republic of),2018,lamps,0.01,7.6,y
Chile (Republic of),2018,lamps,0.02,15.1,x
Chile (Republic of),2018,large_equipment,0.23,7.6,y
Chile (Republic of),2018,lamps,0.02,15.1,x
Chile (Republic of),2018,small_equipment,0.29,7.6,y
Chile (Republic of),2018,lamps,0.02,15.1,x
Chile (Republic of),2018,small_it,0.05,7.6,y
Chile (Republic of),2018,large_equipment,0.16,15.1,x
Chile (Republic of),2018,temperature_exchange_equipment,0.34,7.6,y
Chile (Republic of),2018,large_equipment,0.16,15.1,x
Chile (Republic of),2018,screens_and_monitors,0.09,7.6,y
Chile (Republic of),2018,large_equipment,0.16,15.1,x
Chile (Republic of),2018,lamps,0.01,7.6,y
Chile (Republic of),2018,large_equipment,0.16,15.1,x
Chile (Republic of),2018,large_equipment,0.23,7.6,y
Chile (Republic of),2018,large_equipment,0.16,15.1,x
Chile (Republic of),2018,small_equipment,0.29,7.6,y
Chile (Republic of),2018,large_equipment,0.16,15.1,x
Chile (Republic of),2018,small_it,0.05,7.6,y
Chile (Republic of),2018,small_equipment,0.34,15.1,x
Chile (Republic of),2018,temperature_exchange_equipment,0.34,7.6,y
Chile (Republic of),2018,small_equipment,0.34,15.1,x
Chile (Republic of),2018,screens_and_monitors,0.09,7.6,y
Chile (Republic of),2018,small_equipment,0.34,15.1,x
Chile (Republic of),2018,lamps,0.01,7.6,y
Chile (Republic of),2018,small_equipment,0.34,15.1,x
Chile (Republic of),2018,large_equipment,0.23,7.6,y
Chile (Republic of),2018,small_equipment,0.34,15.1,x
Chile (Republic of),2018,small_equipment,0.29,7.6,y
Chile (Republic of),2018,small_equipment,0.34,15.1,x
Chile (Republic of),2018,small_it,0.05,7.6,y
Chile (Republic of),2018,small_it,0.07,15.1,x
Chile (Republic of),2018,temperature_exchange_equipment,0.34,7.6,y
Chile (Republic of),2018,small_it,0.07,15.1,x
Chile (Republic of),2018,screens_and_monitors,0.09,7.6,y
Chile (Republic of),2018,small_it,0.07,15.1,x
Chile (Republic of),2018,lamps,0.01,7.6,y
Chile (Republic of),2018,small_it,0.07,15.1,x
Chile (Republic of),2018,large_equipment,0.23,7.6,y
Chile (Republic of),2018,small_it,0.07,15.1,x
Chile (Republic of),2018,small_equipment,0.29,7.6,y
Chile (Republic of),2018,small_it,0.07,15.1,x
Chile (Republic of),2018,small_it,0.05,7.6,y
Ecuador,2018,temperature_exchange_equipment,0.16,8.1,x
Ecuador,2018,temperature_exchange_equipment,0.25,4.9,y
Ecuador,2018,temperature_exchange_equipment,0.16,8.1,x
Ecuador,2018,screens_and_monitors,0.1,4.9,y
Ecuador,2018,temperature_exchange_equipment,0.16,8.1,x
Ecuador,2018,lamps,0.03,4.9,y
Ecuador,2018,temperature_exchange_equipment,0.16,8.1,x
Ecuador,2018,large_equipment,0.15,4.9,y
Ecuador,2018,temperature_exchange_equipment,0.16,8.1,x
Ecuador,2018,small_equipment,0.41,4.9,y
Ecuador,2018,temperature_exchange_equipment,0.16,8.1,x
Ecuador,2018,small_it,0.07,4.9,y
Ecuador,2018,screens_and_monitors,0.11,8.1,x
Ecuador,2018,temperature_exchange_equipment,0.25,4.9,y
Ecuador,2018,screens_and_monitors,0.11,8.1,x
Ecuador,2018,screens_and_monitors,0.1,4.9,y
Ecuador,2018,screens_and_monitors,0.11,8.1,x
Ecuador,2018,lamps,0.03,4.9,y
Ecuador,2018,screens_and_monitors,0.11,8.1,x
Ecuador,2018,large_equipment,0.15,4.9,y
Ecuador,2018,screens_and_monitors,0.11,8.1,x
Ecuador,2018,small_equipment,0.41,4.9,y
Ecuador,2018,screens_and_monitors,0.11,8.1,x
Ecuador,2018,small_it,0.07,4.9,y
Ecuador,2018,lamps,0.04,8.1,x
Ecuador,2018,temperature_exchange_equipment,0.25,4.9,y
Ecuador,2018,lamps,0.04,8.1,x
Ecuador,2018,screens_and_monitors,0.1,4.9,y
Ecuador,2018,lamps,0.04,8.1,x
Ecuador,2018,lamps,0.03,4.9,y
Ecuador,2018,lamps,0.04,8.1,x
Ecuador,2018,large_equipment,0.15,4.9,y
Ecuador,2018,lamps,0.04,8.1,x
Ecuador,2018,small_equipment,0.41,4.9,y
Ecuador,2018,lamps,0.04,8.1,x
Ecuador,2018,small_it,0.07,4.9,y
Ecuador,2018,large_equipment,0.15,8.1,x
Ecuador,2018,temperature_exchange_equipment,0.25,4.9,y
Ecuador,2018,large_equipment,0.15,8.1,x
Ecuador,2018,screens_and_monitors,0.1,4.9,y
Ecuador,2018,large_equipment,0.15,8.1,x
Ecuador,2018,lamps,0.03,4.9,y
Ecuador,2018,large_equipment,0.15,8.1,x
Ecuador,2018,large_equipment,0.15,4.9,y
Ecuador,2018,large_equipment,0.15,8.1,x
Ecuador,2018,small_equipment,0.41,4.9,y
Ecuador,2018,large_equipment,0.15,8.1,x
Ecuador,2018,small_it,0.07,4.9,y
Ecuador,2018,small_equipment,0.49,8.1,x
Ecuador,2018,temperature_exchange_equipment,0.25,4.9,y
Ecuador,2018,small_equipment,0.49,8.1,x
Ecuador,2018,screens_and_monitors,0.1,4.9,y
Ecuador,2018,small_equipment,0.49,8.1,x
Ecuador,2018,lamps,0.03,4.9,y
Ecuador,2018,small_equipment,0.49,8.1,x
